State,LGA,Ward,OUTRnd,Settlementno,Settlement1,Settlement2,Settlement3,totSeet3,totMist3,totSeet1,totSeet2,totMist1,totMist2,OutCode,numberof Locations,Unvaccinated this round,0to9mth Seen,0to9mth notMarked,0to23mth Seen,0to23mth notMarked,24to59mth Seen,24to59mth notMarked,TOTAL Seen,TOTAL Notmarked,IsmainRnd,Settlement4,Settlement5,Settlement6,totSeet4,totMist4,totSeet5,totSeet6,totMist5,totMist6
Adamawa,Demsa,Bille,1-Feb-17,3,WURO NASKO,SHIDANG,LE-NGKWAGO,10,0,10,10,0,0,AdamawaDemsaBille01/02/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Demsa,Demsa,1-Feb-17,3,ANGUWAN GALADIMA,WHITE HOUSE,ANGUWAN FADA,10,1,10,10,1,0,AdamawaDemsaDemsa01/02/2017IPD,3,0,0,0,12,0,18,2,30,2,TRUE,,,,0,0,0,0,0,0
Adamawa,Demsa,Dilli,1-Feb-17,3,BAMU,LAKATI,KULA MULLI,10,0,10,10,0,0,AdamawaDemsaDilli01/02/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Demsa,Dong,1-Feb-17,3,GOKPORO,KWALUMO,JAURO OBADIAH,10,1,10,10,1,0,AdamawaDemsaDong01/02/2017IPD,3,0,0,0,12,0,18,2,30,2,TRUE,,,,0,0,0,0,0,0
Adamawa,Demsa,Dwam,1-Feb-17,3,KOWON,KWALE TAKANDA,BAKIN KOGI,10,1,10,10,0,1,AdamawaDemsaDwam01/02/2017IPD,3,0,0,0,12,1,18,1,30,2,TRUE,,,,0,0,0,0,0,0
Adamawa,Demsa,Kpasham,1-Feb-17,3,ANGUWAN FULANI,TASHAN GURGU,SUNDI LAGUN,10,0,10,10,1,0,AdamawaDemsaKpasham01/02/2017IPD,3,0,0,0,12,0,18,1,30,1,TRUE,,,,0,0,0,0,0,0
Adamawa,Demsa,Mbula,1-Feb-17,3,TAHAU GOSHI,TAKAWON,KULA TABUNDO,10,2,10,10,0,1,AdamawaDemsaMbula01/02/2017IPD,3,0,0,0,12,2,18,1,30,3,TRUE,,,,0,0,0,0,0,0
Adamawa,Demsa,Nassarawo Demsa,1-Feb-17,3,ANGUWAN DANJUMA,BABBAN MASSALLACI,BAYAN DEMSA GUEST INN,10,0,10,10,0,1,AdamawaDemsaNassarawo Demsa01/02/2017IPD,3,0,0,0,12,0,18,1,30,1,TRUE,,,,0,0,0,0,0,0
Adamawa,Ganye,Bakari Goso,1-Feb-17,3,NASIRI,TAKUM,WURO DAWE,10,0,10,10,0,0,AdamawaGanyeBakari Goso01/02/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Ganye,Gamu,1-Feb-17,3,GANGTIYABUME,DAGANG,DALUKA,10,0,10,10,0,0,AdamawaGanyeGamu01/02/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Ganye,Ganye 1,1-Feb-17,3,SABON KASUWA,SABONLAYI GANYE 1,BARADE,10,0,10,10,0,1,AdamawaGanyeGanye 101/02/2017IPD,3,0,0,0,12,0,18,1,30,1,TRUE,,,,0,0,0,0,0,0
Adamawa,Ganye,Ganye 2,1-Feb-17,3,WUKARI,DADIRI NWANJUMI,ADAMU SANDA,10,0,10,10,0,0,AdamawaGanyeGanye 201/02/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Ganye,Jaggu,1-Feb-17,3,BANCHE,MADAGASKA,DATAKA,10,0,10,10,0,0,AdamawaGanyeJaggu01/02/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Ganye,Sangassumi,1-Feb-17,3,DAWASA 1B,GANGDAIRUM A,SANGASSUMI 1B,10,0,10,10,0,0,AdamawaGanyeSangassumi01/02/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Ganye,Sugu,1-Feb-17,3,TIYEMA,SUGU FRANCIS,WURO HAUSA,10,0,10,10,0,1,AdamawaGanyeSugu01/02/2017IPD,3,0,0,0,12,0,18,1,30,1,TRUE,,,,0,0,0,0,0,0
Adamawa,Ganye,Timdore,1-Feb-17,3,NAYA,TIMYEMA,SANDASINI,10,0,10,10,0,0,AdamawaGanyeTimdore01/02/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Girei,Dakri,1-Feb-17,3,BATA,DAKRI ALHAJI,ABUBAKAR GONAN TEFI,10,0,10,10,1,0,AdamawaGireiDakri01/02/2017IPD,3,0,0,0,12,0,18,1,30,1,TRUE,,,,0,0,0,0,0,0
Adamawa,Girei,Damare,1-Feb-17,3,bajabure,samunaka,dudereyel,10,0,10,10,1,1,AdamawaGireiDamare01/02/2017IPD,3,0,0,0,12,0,18,2,30,2,TRUE,,,,0,0,0,0,0,0
Adamawa,Girei,Girei 1,1-Feb-17,3,IBRAHIM KUDI,AMINU PRY,ANGUWAN KUDU,10,0,10,10,0,1,AdamawaGireiGirei 101/02/2017IPD,3,0,0,0,12,0,18,1,30,1,TRUE,,,,0,0,0,0,0,0
Adamawa,Girei,Girei 2,1-Feb-17,3,ANGUWAN BURA,JERRANGA KOFAR JAURO,LANGIRE,10,3,10,10,3,1,AdamawaGireiGirei 201/02/2017IPD,3,0,0,0,12,4,18,3,30,7,TRUE,,,,0,0,0,0,0,0
Adamawa,Girei,Jera Bakari,1-Feb-17,3,GUDUSU,KORAN MOTA,MAYO SUNO,10,3,10,10,3,3,AdamawaGireiJera Bakari01/02/2017IPD,3,0,0,0,12,4,18,5,30,9,TRUE,,,,0,0,0,0,0,0
Adamawa,Girei,Jera Bonyo,1-Feb-17,3,zaiti,Daneyel,dadere,10,0,10,10,0,1,AdamawaGireiJera Bonyo01/02/2017IPD,3,0,0,0,12,0,18,1,30,1,TRUE,,,,0,0,0,0,0,0
Adamawa,Girei,Modire,1-Feb-17,3,TSAMIYAN TUMBA,MUSA KALAMU,ANGUWAN LCCN,10,3,10,10,2,2,AdamawaGireiModire01/02/2017IPD,3,0,0,0,12,3,18,4,30,7,TRUE,,,,0,0,0,0,0,0
Adamawa,Girei,Wuro Dole,1-Feb-17,3,MARAFA,GADA KOLTA,ANGUWAN CUSTOM,10,0,10,10,0,0,AdamawaGireiWuro Dole01/02/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
