State,LGA,Ward,OUTRnd,Settlementno,Settlement1,Settlement2,Settlement3,totSeet3,totMist3,totSeet1,totSeet2,totMist1,totMist2,OutCode,numberof Locations,Unvaccinated this round,0to9mth Seen,0to9mth notMarked,0to23mth Seen,0to23mth notMarked,24to59mth Seen,24to59mth notMarked,TOTAL Seen,TOTAL Notmarked,IsmainRnd,Settlement4,Settlement5,Settlement6,totSeet4,totMist4,totSeet5,totSeet6,totMist5,totMist6
Adamawa,Demsa,Bille,1-Jan-17,3,TEWARA,NGUNLEH,TEBOTI,10,0,10,10,0,0,AdamawaDemsaBille01/01/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Demsa,Demsa,1-Jan-17,3,BILINGO,SALABANGA,ZURAN 111,10,0,10,10,0,0,AdamawaDemsaDemsa01/01/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Demsa,Dilli,1-Jan-17,3,MURGWANYI,SABON LAYI,FULANI LANGA,10,0,10,10,0,0,AdamawaDemsaDilli01/01/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Demsa,Dong,1-Jan-17,3,URO,YOLDE KOI,GAH LAIDE,10,0,10,10,0,0,AdamawaDemsaDong01/01/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Demsa,Dwam,1-Jan-17,3,KWAKAWEN,MALIKI,GINDIN DUTSE,10,0,10,10,0,0,AdamawaDemsaDwam01/01/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Demsa,Kpasham,1-Jan-17,3,ANGUWAN TAMBO,ANGUWAN SARKI,YADIRI,10,0,10,10,0,0,AdamawaDemsaKpasham01/01/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Demsa,Mbula,1-Jan-17,3,TASAWE,KULA DUWAMUN,KPAKMYAGI,10,0,10,10,0,0,AdamawaDemsaMbula01/01/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Demsa,Nassarawo Demsa,1-Jan-17,3,OPPOSITE LCCN,ANGUWAN HAWAN IDI,LUPANGAH,10,0,10,10,0,0,AdamawaDemsaNassarawo Demsa01/01/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Fufore,Beti,1-Jan-17,3,Jalingo Bere,Jauro Taba Luggerawo,Jauro Hamidu Burire,10,0,10,10,0,0,AdamawaFuforeBeti01/01/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Fufore,Farang,1-Jan-17,3,Ginsuka,Makama Mukubu,Fattude Rabe,10,0,10,10,0,0,AdamawaFuforeFarang01/01/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Fufore,Fufore,1-Jan-17,3,Gimsikum Ribadu,Makama Mukabu,Fattude,10,0,10,10,5,2,AdamawaFuforeFufore01/01/2017IPD,3,0,0,0,12,2,18,5,30,7,TRUE,,,,0,0,0,0,0,0
Adamawa,Fufore,Gurin,1-Jan-17,3,Wuro Yolde,Wuro Tugge,Hirnage Hubbare,10,0,10,10,0,0,AdamawaFuforeGurin01/01/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Fufore,Mayo Inne,1-Jan-17,3,Jauro Bobboi,Lainde Mbuji,Damare Fulani,10,0,10,10,0,0,AdamawaFuforeMayo Inne01/01/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Fufore,Pariya,1-Jan-17,3,Wuro Keso,Nyemire,Garmo,10,0,10,10,0,0,AdamawaFuforePariya01/01/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
Adamawa,Fufore,Ribadu,1-Jan-17,3,Wuro Mango,Parkuma,Yonde Abbasi,10,0,10,10,0,0,AdamawaFuforeRibadu01/01/2017IPD,3,0,0,0,12,0,18,0,30,0,TRUE,,,,0,0,0,0,0,0
