State,LGA,Ward,OUTRnd,Settlementno,Settlement1,Settlement2,Settlement3,totSeet3,totMist3,totSeet1,totSeet2,totMist1,totMist2,OutCode,numberof Locations,Unvaccinated this round,0to9mth Seen,0to9mth notMarked,0to23mth Seen,0to23mth notMarked,24to59mth Seen,24to59mth notMarked,TOTAL Seen,TOTAL Notmarked,IsmainRnd,Settlement4,Settlement5,Settlement6,totSeet4,totMist4,totSeet5,totSeet6,totMist5,totMist6
Abia,Aba North,Ariaria,1-Mar-17,3,Nwosu,Samek,Ama-ukwu,30,0,30,30,0,0,AbiaAba NorthAriaria01/03/2017IPD,3,0,0,0,36,0,54,0,90,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Asaokpuaja,1-Mar-17,3,Nkwoha St,Powerline,Onuoha Rd,30,0,30,30,0,6,AbiaAba NorthAsaokpuaja01/03/2017IPD,9,0,0,0,43,5,47,1,90,6,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Asaokpulor,1-Mar-17,3,Umuahiwu,Umunwogu,Umunwaguru,30,0,30,30,0,0,AbiaAba NorthAsaokpulor01/03/2017IPD,3,0,0,0,36,0,50,0,86,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Eziama  Ward,1-Mar-17,3,Anyaumunna,Nweke Street,Railway-Station Avenue,10,0,10,10,0,1,AbiaAba NorthEziama  ward01/03/2017IPD,3,0,0,0,12,0,17,1,29,1,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Old Gra,1-Mar-17,3,North Avenue,Brass Str,Nwigwe Str,30,0,30,30,0,0,AbiaAba NorthOld GRA01/03/2017IPD,9,0,0,0,28,0,62,0,90,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Osusu Ii,1-Mar-17,3,Osusu Rd,Akubiro,Owere Rd,30,3,30,30,0,0,AbiaAba NorthOsusu II01/03/2017IPD,9,0,0,0,49,2,41,1,90,3,TRUE,,,,0,0,0,0,0,0
Abia,Aba North,Umuola,1-Mar-17,3,Jenny Avenue,Ikeonne Street,Michael Okpulor,30,0,30,30,0,1,AbiaAba NorthUmuola01/03/2017IPD,9,0,0,0,53,0,37,1,90,1,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Aba River,1-Mar-17,3,Old cliford,Cameroon road,Goodmorning market,30,0,30,30,0,0,AbiaAba SouthAba River01/03/2017IPD,9,0,0,0,24,0,66,0,90,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Aba Town Hall,1-Mar-17,3,Park Road,Pound Road,Hospital Road,10,0,10,10,0,3,AbiaAba SouthAba Town Hall01/03/2017IPD,3,0,0,0,12,2,18,1,30,3,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Asa,1-Mar-17,3,Tenant Road,Market Road,School Road,10,0,10,10,0,0,AbiaAba SouthAsa01/03/2017IPD,3,0,0,0,7,0,23,0,30,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Ekeoha,1-Mar-17,3,Ehi road,Nsulu road,Damfodio,30,0,30,30,0,0,AbiaAba SouthEkeoha01/03/2017IPD,9,0,0,0,63,0,27,0,90,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Elu Ohazu,1-Mar-17,3,Ikporo ikoro road,Ojoto road,Harmony road,30,0,30,30,0,0,AbiaAba SouthElu Ohazu01/03/2017IPD,9,0,0,0,69,0,21,0,90,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Eziukwu Ii,1-Mar-17,3,St Eugene Rd,Frank Rd,Gaseline/Adindu,30,0,30,30,0,0,AbiaAba SouthEziukwu II01/03/2017IPD,9,0,0,0,29,0,61,0,90,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Glocester,1-Mar-17,3,Azikiwe,St Michael's Rd,Prison Baracks,30,0,30,30,0,0,AbiaAba SouthGlocester01/03/2017IPD,9,0,0,0,14,0,76,0,90,0,TRUE,,,,0,0,0,0,0,0
Abia,Aba South,Igwebuike,1-Mar-17,3,Nnakwu,Ohazu,Ozubulu,30,0,30,30,0,0,AbiaAba SouthIgwebuike01/03/2017IPD,9,0,0,0,29,0,61,0,90,0,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Arochukwu I,1-Mar-17,3,Barack,Utughugwu,Ugwuakum,30,0,30,30,0,0,AbiaArochukwuArochukwu I01/03/2017IPD,9,0,0,0,36,0,54,0,90,0,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Arochukwu Iv,1-Mar-17,3,Ujari,Eziukwu,Ndioji,30,0,30,30,0,0,AbiaArochukwuArochukwu IV01/03/2017IPD,9,0,0,0,30,0,60,0,90,0,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Ebemoha,1-Mar-17,3,Itum,Ndi Agwu,Ndi Ekete,30,0,30,30,1,0,AbiaArochukwuEbemoha01/03/2017IPD,9,0,0,0,36,0,54,1,90,1,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Eleoha Ihe Iii,1-Mar-17,3,Obichie,Amiyi,Nkpooro,30,0,30,30,0,0,AbiaArochukwuEleoha Ihe III01/03/2017IPD,9,0,0,0,19,0,71,0,90,0,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Ohafor I,1-Mar-17,3,Amuru,Ozuabam,Ndi ememe,30,0,30,30,0,0,AbiaArochukwuOhafor I01/03/2017IPD,9,0,0,0,36,0,54,0,90,0,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Ovukwu,1-Mar-17,3,Ndi Orji Achi,Ogbugbandu,Ijiodu,30,0,30,30,0,0,AbiaArochukwuOvukwu01/03/2017IPD,9,0,0,0,26,0,64,0,90,0,TRUE,,,,0,0,0,0,0,0
Abia,Arochukwu,Ututu,1-Mar-17,3,Ukwuapu up,Amaka Ofia,Ugwuogu,30,1,30,30,0,1,AbiaArochukwuUtutu01/03/2017IPD,9,0,0,0,36,1,54,1,90,2,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Alayi I,1-Mar-17,3,Ezialayi,Amabo,Amaozara,30,1,30,30,2,4,AbiaBendeAlayi I01/03/2017IPD,9,0,0,0,36,5,54,2,90,7,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Bende,1-Mar-17,3,Okputong,Standard,Agbamuzu,30,0,30,30,0,0,AbiaBendeBende01/03/2017IPD,3,0,0,0,36,0,54,0,90,0,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Igbere I,1-Mar-17,3,Agbo Owere,Onu Ibina,Ibina Ukwu 1,30,0,30,30,0,0,AbiaBendeIgbere I01/03/2017IPD,9,0,0,0,36,0,54,0,90,0,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Itumbuzo I,1-Mar-17,3,Mbukwa,Ukpong,Ikot-okpu,30,2,30,30,0,0,AbiaBendeItumbuzo I01/03/2017IPD,3,0,0,0,38,1,52,1,90,2,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Ozuitem,1-Mar-17,3,Ndiulu,Ndiereke,Obuofia,30,0,30,30,0,0,AbiaBendeOzuitem01/03/2017IPD,9,0,0,0,31,1,59,0,90,1,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Ugwueke,1-Mar-17,3,Amachara,Umuoko,Ezinta,28,2,29,26,1,4,AbiaBendeUgwueke01/03/2017IPD,3,0,0,0,34,2,49,5,83,7,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Umuhu/Ezechi,1-Mar-17,3,Umuokwe,Achi,Amabia,30,0,30,30,1,0,AbiaBendeUmuhu/Ezechi01/03/2017IPD,9,0,0,0,18,1,72,0,90,1,TRUE,,,,0,0,0,0,0,0
Abia,Bende,Uzuakoli I,1-Mar-17,3,Agbodu,Akaelu,Ndagbo,30,0,30,30,0,0,AbiaBendeUzuakoli I01/03/2017IPD,3,0,0,0,36,0,54,0,90,0,TRUE,,,,0,0,0,0,0,0
