Id,Campaign Type,IPDs Round,Day,State,LGA,Daily Review Meeting Chaired by LGA Chaiman,Proportion of teams visited by supervisor (%),Proportion of teams with VVM in Stage 3 or 4 (%),Number of Missed Settlements based on Daily plan,Proportion of wards >10% missed children (%),Proportion of wards with >10% households NOT marked correctly,Proportion of children NOT finger marked
SIA420051AbiaAba North,SIA,15-Jan,1,Abia,Aba North,,,,,,,
SIA420051AbiaAba South,SIA,15-Jan,1,Abia,Aba South,,,,,,,
SIA420051AbiaArochukwu,SIA,15-Jan,1,Abia,Arochukwu,,,,,,,
SIA420051AbiaBende,SIA,15-Jan,1,Abia,Bende,,,,,,,
SIA420051AbiaIkwuano,SIA,15-Jan,1,Abia,Ikwuano,,,,,,,
SIA420051AbiaIsiala-Ngwa North,SIA,15-Jan,1,Abia,Isiala-Ngwa North,,,,,,,
SIA420051AbiaIsiala-Ngwa South,SIA,15-Jan,1,Abia,Isiala-Ngwa South,,,,,,,
SIA420051AbiaIsuikwuato,SIA,15-Jan,1,Abia,Isuikwuato,,,,,,,
SIA420051AbiaObi Nwga,SIA,15-Jan,1,Abia,Obi Nwga,,,,,,,
SIA420051AbiaOhafia,SIA,15-Jan,1,Abia,Ohafia,,,,,,,
SIA420051AbiaOsisioma Ngwa,SIA,15-Jan,1,Abia,Osisioma Ngwa,,,,,,,
SIA420051AbiaUgwunagbo,SIA,15-Jan,1,Abia,Ugwunagbo,,,,,,,
SIA420051AbiaUkwa East,SIA,15-Jan,1,Abia,Ukwa East,,,,,,,
SIA420051AbiaUkwa West,SIA,15-Jan,1,Abia,Ukwa West,,,,,,,
SIA420051AbiaUmuahia North,SIA,15-Jan,1,Abia,Umuahia North,,,,,,,
SIA420051AbiaUmuahia South,SIA,15-Jan,1,Abia,Umuahia South,,,,,,,
SIA420051AbiaUmu-Nneochi,SIA,15-Jan,1,Abia,Umu-Nneochi,,,,,,,
SIA420051AdamawaDemsa,SIA,15-Jan,1,Adamawa,Demsa,,,,,,,
SIA420051AdamawaFufore,SIA,15-Jan,1,Adamawa,Fufore,,,,,,,
SIA420051AdamawaGanye,SIA,15-Jan,1,Adamawa,Ganye,,,,,,,
SIA420051AdamawaGirie,SIA,15-Jan,1,Adamawa,Girie,,,,,,,
SIA420051AdamawaGombi,SIA,15-Jan,1,Adamawa,Gombi,,,,,,,
SIA420051AdamawaGuyuk,SIA,15-Jan,1,Adamawa,Guyuk,,,,,,,
SIA420051AdamawaHong,SIA,15-Jan,1,Adamawa,Hong,,,,,,,
SIA420051AdamawaJada,SIA,15-Jan,1,Adamawa,Jada,,,,,,,
SIA420051AdamawaLarmurde,SIA,15-Jan,1,Adamawa,Larmurde,,,,,,,
SIA420051AdamawaMadagali,SIA,15-Jan,1,Adamawa,Madagali,,,,,,,
SIA420051AdamawaMaiha,SIA,15-Jan,1,Adamawa,Maiha,,,,,,,
SIA420051AdamawaMayo-Belwa,SIA,15-Jan,1,Adamawa,Mayo-Belwa,,,,,,,
SIA420051AdamawaMichika,SIA,15-Jan,1,Adamawa,Michika,,,,,,,
SIA420051AdamawaMubi North,SIA,15-Jan,1,Adamawa,Mubi North,,,,,,,
SIA420051AdamawaMubi South,SIA,15-Jan,1,Adamawa,Mubi South,,,,,,,
SIA420051AdamawaNuman,SIA,15-Jan,1,Adamawa,Numan,,,,,,,
SIA420051AdamawaShelleng,SIA,15-Jan,1,Adamawa,Shelleng,,,,,,,
SIA420051AdamawaSong,SIA,15-Jan,1,Adamawa,Song,,,,,,,
SIA420051AdamawaTeungo,SIA,15-Jan,1,Adamawa,Teungo,,,,,,,
SIA420051AdamawaYola North,SIA,15-Jan,1,Adamawa,Yola North,,,,,,,
SIA420051AdamawaYola South,SIA,15-Jan,1,Adamawa,Yola South,,,,,,,
SIA420051Akwa IbomAbak,SIA,15-Jan,1,Akwa Ibom,Abak,,,,,,,
SIA420051Akwa IbomEastern Obolo,SIA,15-Jan,1,Akwa Ibom,Eastern Obolo,,,,,,,
SIA420051Akwa IbomEket,SIA,15-Jan,1,Akwa Ibom,Eket,,,,,,,
SIA420051Akwa IbomEsit Eket,SIA,15-Jan,1,Akwa Ibom,Esit Eket,,,,,,,
SIA420051Akwa IbomEssien Udim,SIA,15-Jan,1,Akwa Ibom,Essien Udim,,,,,,,
SIA420051Akwa IbomEtim Ekpo,SIA,15-Jan,1,Akwa Ibom,Etim Ekpo,,,,,,,
SIA420051Akwa IbomEtinan,SIA,15-Jan,1,Akwa Ibom,Etinan,,,,,,,
SIA420051Akwa IbomIbeno,SIA,15-Jan,1,Akwa Ibom,Ibeno,,,,,,,
SIA420051Akwa IbomIbesikpo Asutan,SIA,15-Jan,1,Akwa Ibom,Ibesikpo Asutan,,,,,,,
SIA420051Akwa IbomIbiono Ibom,SIA,15-Jan,1,Akwa Ibom,Ibiono Ibom,,,,,,,
SIA420051Akwa IbomIka,SIA,15-Jan,1,Akwa Ibom,Ika,,,,,,,
SIA420051Akwa IbomIkono,SIA,15-Jan,1,Akwa Ibom,Ikono,,,,,,,
SIA420051Akwa IbomIkot Abasi,SIA,15-Jan,1,Akwa Ibom,Ikot Abasi,,,,,,,
SIA420051Akwa IbomIkot Ekpene,SIA,15-Jan,1,Akwa Ibom,Ikot Ekpene,,,,,,,
SIA420051Akwa IbomIni,SIA,15-Jan,1,Akwa Ibom,Ini,,,,,,,
SIA420051Akwa IbomItu,SIA,15-Jan,1,Akwa Ibom,Itu,,,,,,,
