Id,Campaign Type,IPDs Round,Timeline,State,LGA,Social mobilization plan/implementation,High risk Operational Plan,Evidence of LGA task force meeting,Meeting of Ward selection Committees to review performance,Updated micro-plan,Training Plan implementation,Social mobilization funds received at LGA Level,Border synchronization planning meeting,Security agents conducted assessment,IPD plan adjusted based on security assessment (if applicable),Logistics funds received,LGAs/State counterpart funding received
SIA 14-Jan 3 weeks ABIA ABA NORTH,SIA,14-Jan,3 weeks,Abia,Aba North,,,,,,,,,,,,
SIA 14-Jan 3 weeks ABIA ABA SOUTH,SIA,14-Jan,3 weeks,Abia,Aba South,,,,,,,,,,,,
SIA 14-Jan 3 weeks ABIA AROCHUKWU,SIA,14-Jan,3 weeks,Abia,Arochukwu,,,,,,,,,,,,
SIA 14-Jan 3 weeks ABIA BENDE,SIA,14-Jan,3 weeks,Abia,Bende,,,,,,,,,,,,
SIA 14-Jan 3 weeks ABIA IKWUANO,SIA,14-Jan,3 weeks,Abia,Ikwuano,,,,,,,,,,,,
SIA 14-Jan 3 weeks ABIA ISIALA-NGWA NORTH,SIA,14-Jan,3 weeks,Abia,Isiala-Ngwa North,,,,,,,,,,,,
SIA 14-Jan 3 weeks ABIA ISIALA-NGWA SOUTH,SIA,14-Jan,3 weeks,Abia,Isiala-Ngwa South,,,,,,,,,,,,
SIA 14-Jan 3 weeks ABIA ISUIKWUATO,SIA,14-Jan,3 weeks,Abia,Isuikwuato,,,,,,,,,,,,
SIA 14-Jan 3 weeks ABIA OBI NWGA,SIA,14-Jan,3 weeks,Abia,Obi Nwga,,,,,,,,,,,,
SIA 14-Jan 3 weeks ABIA OHAFIA,SIA,14-Jan,3 weeks,Abia,Ohafia,,,,,,,,,,,,
SIA 14-Jan 3 weeks ABIA OSISIOMA NGWA,SIA,14-Jan,3 weeks,Abia,Osisioma Ngwa,,,,,,,,,,,,
SIA 14-Jan 3 weeks ABIA UGWUNAGBO,SIA,14-Jan,3 weeks,Abia,Ugwunagbo,,,,,,,,,,,,
SIA 14-Jan 3 weeks ABIA UKWA EAST,SIA,14-Jan,3 weeks,Abia,Ukwa East,,,,,,,,,,,,
SIA 14-Jan 3 weeks ABIA UKWA WEST,SIA,14-Jan,3 weeks,Abia,Ukwa West,,,,,,,,,,,,
SIA 14-Jan 3 weeks ABIA UMUAHIA NORTH,SIA,14-Jan,3 weeks,Abia,Umuahia North,,,,,,,,,,,,
SIA 14-Jan 3 weeks ABIA UMUAHIA SOUTH,SIA,14-Jan,3 weeks,Abia,Umuahia South,,,,,,,,,,,,
SIA 14-Jan 3 weeks ABIA UMU-NNEOCHI,SIA,14-Jan,3 weeks,Abia,Umu-Nneochi,,,,,,,,,,,,
SIA 14-Jan 3 weeks ADAMAWA DEMSA,SIA,14-Jan,3 weeks,Adamawa,Demsa,,,,,,,,,,,,
SIA 14-Jan 3 weeks ADAMAWA FUFORE,SIA,14-Jan,3 weeks,Adamawa,Fufore,,,,,,,,,,,,
SIA 14-Jan 3 weeks ADAMAWA GANYE,SIA,14-Jan,3 weeks,Adamawa,Ganye,,,,,,,,,,,,
SIA 14-Jan 3 weeks ADAMAWA GIRIE,SIA,14-Jan,3 weeks,Adamawa,Girie,,,,,,,,,,,,
SIA 14-Jan 3 weeks ADAMAWA GOMBI,SIA,14-Jan,3 weeks,Adamawa,Gombi,,,,,,,,,,,,
SIA 14-Jan 3 weeks ADAMAWA GUYUK,SIA,14-Jan,3 weeks,Adamawa,Guyuk,,,,,,,,,,,,
SIA 14-Jan 3 weeks ADAMAWA HONG,SIA,14-Jan,3 weeks,Adamawa,Hong,,,,,,,,,,,,
SIA 14-Jan 3 weeks ADAMAWA JADA,SIA,14-Jan,3 weeks,Adamawa,Jada,,,,,,,,,,,,
SIA 14-Jan 3 weeks ADAMAWA LARMURDE,SIA,14-Jan,3 weeks,Adamawa,Larmurde,,,,,,,,,,,,
SIA 14-Jan 3 weeks ADAMAWA MADAGALI,SIA,14-Jan,3 weeks,Adamawa,Madagali,,,,,,,,,,,,
SIA 14-Jan 3 weeks ADAMAWA MAIHA,SIA,14-Jan,3 weeks,Adamawa,Maiha,,,,,,,,,,,,
SIA 14-Jan 3 weeks ADAMAWA MAYO-BELWA,SIA,14-Jan,3 weeks,Adamawa,Mayo-Belwa,,,,,,,,,,,,
SIA 14-Jan 3 weeks ADAMAWA MICHIKA,SIA,14-Jan,3 weeks,Adamawa,Michika,,,,,,,,,,,,
SIA 14-Jan 3 weeks ADAMAWA MUBI NORTH,SIA,14-Jan,3 weeks,Adamawa,Mubi North,,,,,,,,,,,,
SIA 14-Jan 3 weeks ADAMAWA MUBI SOUTH,SIA,14-Jan,3 weeks,Adamawa,Mubi South,,,,,,,,,,,,
SIA 14-Jan 3 weeks ADAMAWA NUMAN,SIA,14-Jan,3 weeks,Adamawa,Numan,,,,,,,,,,,,
