Id,Campaign Type,IPDs Round,Timeline,State,LGA,Social mobilization plan/implementation,High risk Operational Plan,Evidence of LGA task force meeting,Meeting of Ward selection Committees to review performance,Updated micro-plan,Training Plan implementation,Social mobilization funds received at LGA Level,Border synchronization planning meeting,Security agents conducted assessment,IPD plan adjusted based on security assessment (if applicable),Logistics funds received,LGAs/State counterpart funding received
SIA 15-Jan 3 weeks ABIA ABA NORTH,SIA,15-Jan,3 weeks,Abia,Aba North,,,,,,,,,,,,
SIA 15-Jan 3 weeks ABIA ABA SOUTH,SIA,15-Jan,3 weeks,Abia,Aba South,,,,,,,,,,,,
SIA 15-Jan 3 weeks ABIA AROCHUKWU,SIA,15-Jan,3 weeks,Abia,Arochukwu,,,,,,,,,,,,
SIA 15-Jan 3 weeks ABIA BENDE,SIA,15-Jan,3 weeks,Abia,Bende,,,,,,,,,,,,
SIA 15-Jan 3 weeks ABIA IKWUANO,SIA,15-Jan,3 weeks,Abia,Ikwuano,,,,,,,,,,,,
SIA 15-Jan 3 weeks ABIA ISIALA-NGWA NORTH,SIA,15-Jan,3 weeks,Abia,Isiala-Ngwa North,,,,,,,,,,,,
SIA 15-Jan 3 weeks ABIA ISIALA-NGWA SOUTH,SIA,15-Jan,3 weeks,Abia,Isiala-Ngwa South,,,,,,,,,,,,
SIA 15-Jan 3 weeks ABIA ISUIKWUATO,SIA,15-Jan,3 weeks,Abia,Isuikwuato,,,,,,,,,,,,
SIA 15-Jan 3 weeks ABIA OBI NWGA,SIA,15-Jan,3 weeks,Abia,Obi Nwga,,,,,,,,,,,,
SIA 15-Jan 3 weeks ABIA OHAFIA,SIA,15-Jan,3 weeks,Abia,Ohafia,,,,,,,,,,,,
SIA 15-Jan 3 weeks ABIA OSISIOMA NGWA,SIA,15-Jan,3 weeks,Abia,Osisioma Ngwa,,,,,,,,,,,,
SIA 15-Jan 3 weeks ABIA UGWUNAGBO,SIA,15-Jan,3 weeks,Abia,Ugwunagbo,,,,,,,,,,,,
SIA 15-Jan 3 weeks ABIA UKWA EAST,SIA,15-Jan,3 weeks,Abia,Ukwa East,,,,,,,,,,,,
SIA 15-Jan 3 weeks ABIA UKWA WEST,SIA,15-Jan,3 weeks,Abia,Ukwa West,,,,,,,,,,,,
SIA 15-Jan 3 weeks ABIA UMUAHIA NORTH,SIA,15-Jan,3 weeks,Abia,Umuahia North,,,,,,,,,,,,
SIA 15-Jan 3 weeks ABIA UMUAHIA SOUTH,SIA,15-Jan,3 weeks,Abia,Umuahia South,,,,,,,,,,,,
SIA 15-Jan 3 weeks ABIA UMU-NNEOCHI,SIA,15-Jan,3 weeks,Abia,Umu-Nneochi,,,,,,,,,,,,
SIA 15-Jan 3 weeks ADAMAWA DEMSA,SIA,15-Jan,3 weeks,Adamawa,Demsa,,,,,,,,,,,,
SIA 15-Jan 3 weeks ADAMAWA FUFORE,SIA,15-Jan,3 weeks,Adamawa,Fufore,,,,,,,,,,,,
SIA 15-Jan 3 weeks ADAMAWA GANYE,SIA,15-Jan,3 weeks,Adamawa,Ganye,,,,,,,,,,,,
SIA 15-Jan 3 weeks ADAMAWA GIRIE,SIA,15-Jan,3 weeks,Adamawa,Girie,,,,,,,,,,,,
SIA 15-Jan 3 weeks ADAMAWA GOMBI,SIA,15-Jan,3 weeks,Adamawa,Gombi,,,,,,,,,,,,
SIA 15-Jan 3 weeks ADAMAWA GUYUK,SIA,15-Jan,3 weeks,Adamawa,Guyuk,,,,,,,,,,,,
SIA 15-Jan 3 weeks ADAMAWA HONG,SIA,15-Jan,3 weeks,Adamawa,Hong,,,,,,,,,,,,
