Tally ID,State,Lga,Ward,DateImp,UNQWardRec,No_settlements,NCSchool,NoTeams,FPZERO,FPOTHER,NOHseVist,EligCild,HSEZERO,HSEOTHER,SP_QuranSch,SP_OtherSch,ImmChurch,OUT_other,TotalOUTSIDE,NONCompHH,NC_child,NCHHRevst,NCChildRevst,NCHHpend,NCchildpend,AbHH,AB_child,ABHHRevst,ABChildRevst,ABHHpend,ABchildpend,OTHZERO,OTHOTHER,TOTALOPV,6WKDPT1,6WKDPT2,6WKDPT3,12MTHDPT1,12MTHDPT2,12MTHDPT3,HepB1,HepB2,HepB3,MEASLESU1,MEASLESO1,YellowU1,YellowO1,TT1,TT2plus,VITAU1,VITAO1,PLUS1,PLUS2,PLUS3,Plus Name1,Plus name2,Plus Name3,GWD,AFP,IsmainRnd
208430901,Kano,Kiru,Zuwo,1-Apr-17,KanoKiruZuwo01/04/2017-1,35,0,8,0,342,1983,3440,5,2881,21,0,0,378,399,0,0,0,0,0,0,2,4,2,4,0,0,0,1535,5161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3988,144,2880,Sweets,Soap,Others,0,0,TRUE
306202978,Zamfara,Zurmi,Zurmi,1-Apr-17,ZamfaraZurmiZurmi01/04/2017-1,72,0,17,0,170,5831,7840,22,7572,232,211,0,1997,2440,3,3,0,0,3,3,127,181,127,181,0,0,4,201,10568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,620,11025,Detergent,Satchet milk,Sweets,0,0,TRUE
449731518,Bauchi,Warji,Zurgwai,1-Apr-17,BauchiWarjiZurgwai01/04/2017-1,40,0,10,0,271,1874,5104,64,4017,0,0,0,517,517,2,2,2,2,0,0,85,108,85,108,0,0,0,0,4915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4915,288,0,Sweets,Detergent,,0,1,TRUE
232892856,Kano,Rano,Zurgu,1-Apr-17,KanoRanoZurgu01/04/2017-1,40,0,10,0,304,2104,4858,19,2930,0,0,0,804,804,3,11,3,11,0,0,12,22,11,19,1,3,0,1257,5325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566,4980,259,Satchet milk,Sweets,Soap,0,0,TRUE
335088427,Kaduna,Kubau,Zuntu,1-Apr-17,KadunaKubauZuntu01/04/2017-1,66,0,16,12,469,4002,14356,15,2583,220,0,44,622,886,73,127,65,119,8,8,74,100,68,92,6,8,0,9932,14093,28,23,24,0,0,0,16,0,0,72,0,72,0,56,17,0,0,5652,5640,1973,Satchet milk,Sweets,Others,0,0,TRUE
460243523,Bauchi,Bauchi,Zungur,1-Apr-17,BauchiBauchiZungur01/04/2017-1,56,0,11,6,39,3437,7709,17,7537,14,45,0,195,254,15,32,14,29,1,3,67,121,65,115,2,6,0,0,7980,27,19,20,0,0,0,4,0,0,50,49,50,49,7,5,0,0,5144,2958,0,Sweets,Detergent,,0,0,TRUE
68798792,Jigawa,Yankwashi,Zungumba,1-Apr-17,JigawaYankwashiZungumba01/04/2017-1,16,0,4,1,97,1011,2397,3,2061,0,61,0,104,165,14,40,14,40,0,0,20,47,20,47,0,0,0,0,2411,20,15,15,0,0,0,0,0,0,24,0,24,0,12,11,0,0,2411,0,0,Sweets,,,0,0,TRUE
262672555,Niger,Wushishi,Zungeru,1-Apr-17,NigerWushishiZungeru01/04/2017-1,79,0,55,2,21,5254,7418,51,7148,477,0,151,816,1444,0,0,0,0,0,0,96,157,96,157,0,0,0,0,8772,16,15,20,0,0,0,18,0,0,51,0,51,0,25,34,0,0,0,0,0,,,,0,0,TRUE
194590043,Adamawa,Song,Zumo,1-Apr-17,AdamawaSongZumo01/04/2017-1,33,0,7,3,20,1450,2953,21,2532,0,0,0,309,309,0,0,0,0,0,0,18,26,18,26,0,0,0,0,2890,31,25,25,0,0,0,0,0,0,39,0,39,0,26,28,0,0,0,0,0,,,,0,0,TRUE
287401512,Bauchi,Dass,Zumbul,1-Apr-17,BauchiDassZumbul01/04/2017-1,35,0,8,0,31,1295,3439,13,3122,25,0,18,192,235,1,1,1,1,0,0,41,53,41,53,0,0,0,0,3442,2,0,2,0,0,0,1,0,0,2,0,2,0,0,0,0,0,3244,0,0,Sweets,Detergent,,0,0,TRUE
43479721,Niger,Tafa,Zuma West,1-Apr-17,NigerTafaZuma West01/04/2017-1,124,0,31,16,327,8514,14447,22,14187,535,177,1010,6583,8305,4,5,4,5,0,0,172,259,167,254,5,5,0,0,23094,53,41,52,0,0,0,24,0,0,87,0,87,0,87,89,0,0,309,234,256,,,,0,0,TRUE
