Tally ID,State,Lga,Ward,DateImp,UNQWardRec,No_settlements,NCSchool,NoTeams,FPZERO,FPOTHER,NOHseVist,EligCild,HSEZERO,HSEOTHER,SP_QuranSch,SP_OtherSch,ImmChurch,OUT_other,TotalOUTSIDE,NONCompHH,NC_child,NCHHRevst,NCChildRevst,NCHHpend,NCchildpend,AbHH,AB_child,ABHHRevst,ABChildRevst,ABHHpend,ABchildpend,OTHZERO,OTHOTHER,TOTALOPV,6WKDPT1,6WKDPT2,6WKDPT3,12MTHDPT1,12MTHDPT2,12MTHDPT3,HepB1,HepB2,HepB3,MEASLESU1,MEASLESO1,YellowU1,YellowO1,TT1,TT2plus,VITAU1,VITAO1,PLUS1,PLUS2,PLUS3,Plus Name1,Plus name2,Plus Name3,GWD,AFP,IsmainRnd
-798630146,Adamawa,Demsa,Bille,1-Jan-17,AdamawaDemsaBille01/01/2017-1,121,0,14,0,225,6391,7309,1,7283,0,0,0,473,473,0,0,0,0,0,0,47,88,47,88,0,0,0,0,8069,11,18,16,0,0,0,11,18,16,45,0,45,0,27,18,0,0,0,0,0,,,,0,0,TRUE
1908434599,Adamawa,Demsa,Borrong,1-Jan-17,AdamawaDemsaBorrong01/01/2017-1,48,0,6,2,125,1945,2630,3,2935,0,0,0,559,559,0,0,0,0,0,0,15,18,15,18,0,0,0,0,3639,16,10,14,0,0,0,16,10,14,40,0,40,0,24,16,0,0,0,0,0,,,,0,0,TRUE
-2117331620,Adamawa,Demsa,Demsa,1-Jan-17,AdamawaDemsaDemsa01/01/2017-1,68,0,16,0,44,4333,9744,58,8827,0,192,0,991,1183,0,0,0,0,0,0,58,89,58,89,0,0,0,0,10143,13,16,17,0,0,0,13,16,17,46,0,46,0,29,17,0,0,0,0,0,,,,0,0,TRUE
-1223661267,Adamawa,Demsa,Dilli,1-Jan-17,AdamawaDemsaDilli01/01/2017-1,44,0,7,7,20,2017,2859,41,2720,0,0,0,108,108,0,0,0,0,0,0,6,7,6,7,0,0,0,0,2862,13,10,19,0,0,0,13,10,19,42,0,42,0,23,19,0,0,0,0,0,,,,0,0,TRUE
379644650,Adamawa,Demsa,Dong,1-Jan-17,AdamawaDemsaDong01/01/2017-1,65,0,12,0,93,5739,6093,17,5546,0,0,0,632,632,0,0,0,0,0,0,55,69,55,69,0,0,0,0,6340,14,11,13,0,0,0,14,11,13,38,0,38,0,24,14,0,0,0,0,0,,,,0,0,TRUE
903317283,Adamawa,Demsa,Dwam,1-Jan-17,AdamawaDemsaDwam01/01/2017-1,52,0,8,18,0,2077,3455,0,3404,0,0,0,562,562,0,0,0,0,0,0,48,59,48,59,0,0,0,0,4043,13,16,17,0,0,0,13,16,17,46,0,46,0,17,29,0,0,0,0,0,,,,0,0,TRUE
1946956584,Adamawa,Demsa,Gwamba,1-Jan-17,AdamawaDemsaGwamba01/01/2017-1,44,0,5,3,121,1803,2978,2,2557,0,0,0,202,202,0,0,0,0,0,0,8,8,8,8,0,0,0,0,2891,9,12,18,0,0,0,9,12,18,39,0,39,0,21,18,0,0,0,0,0,,,,0,0,TRUE
1578823177,Adamawa,Demsa,Kpasham,1-Jan-17,AdamawaDemsaKpasham01/01/2017-1,157,0,12,8,134,4550,6109,6,5649,0,165,0,786,951,0,0,0,0,0,0,37,41,37,41,0,0,0,0,6783,16,12,17,0,0,0,16,12,17,45,0,45,0,28,17,0,0,0,0,0,,,,0,0,TRUE
-774378090,Adamawa,Demsa,Mbula,1-Jan-17,AdamawaDemsaMbula01/01/2017-1,52,0,7,15,130,2556,3661,18,3273,0,100,0,281,381,0,0,0,0,0,0,41,57,41,57,0,0,0,0,3856,19,10,13,0,0,0,19,10,13,42,0,42,0,23,19,0,0,0,0,0,,,,0,0,TRUE
-639006881,Adamawa,Demsa,Nassarawo Demsa,1-Jan-17,AdamawaDemsaNassarawo Demsa01/01/2017-1,76,0,17,50,40,6569,10357,60,9798,977,332,0,1314,2623,0,0,0,0,0,0,84,133,84,133,0,0,0,0,12644,17,12,18,0,0,0,17,12,18,47,0,47,0,29,18,0,0,0,0,0,,,,0,0,TRUE
1517036980,Adamawa,Fufore,Beti,1-Jan-17,AdamawaFuforeBeti01/01/2017-1,73,0,10,19,134,3406,6910,89,6910,0,0,0,1614,1669,0,0,0,0,0,0,64,84,64,84,0,0,0,0,8761,32,22,24,0,0,0,32,22,24,24,0,24,0,12,8,22,0,0,0,0,,,,0,0,TRUE
-136161115,Adamawa,Fufore,Farang,1-Jan-17,AdamawaFuforeFarang01/01/2017-1,109,0,14,17,84,5127,10639,136,8690,221,49,0,1210,1589,0,0,0,0,0,0,184,252,184,252,0,0,0,0,10523,19,20,22,0,0,0,19,20,22,28,0,28,0,29,24,43,0,0,0,0,,,,0,0,TRUE
-1632775422,Adamawa,Fufore,Fufore,1-Jan-17,AdamawaFuforeFufore01/01/2017-1,46,0,6,0,118,3348,7081,36,5699,0,0,0,971,1185,1,1,1,1,0,0,79,111,79,111,0,0,0,0,6900,10,5,5,0,0,0,10,5,5,23,0,23,0,0,0,3,0,0,0,0,,,,0,0,TRUE
