Tally ID,State,Lga,Ward,DateImp,UNQWardRec,No_settlements,NCSchool,NoTeams,FPZERO,FPOTHER,NOHseVist,EligCild,HSEZERO,HSEOTHER,SP_QuranSch,SP_OtherSch,ImmChurch,OUT_other,TotalOUTSIDE,NONCompHH,NC_child,NCHHRevst,NCChildRevst,NCHHpend,NCchildpend,AbHH,AB_child,ABHHRevst,ABChildRevst,ABHHpend,ABchildpend,OTHZERO,OTHOTHER,TOTALOPV,6WKDPT1,6WKDPT2,6WKDPT3,12MTHDPT1,12MTHDPT2,12MTHDPT3,HepB1,HepB2,HepB3,MEASLESU1,MEASLESO1,YellowU1,YellowO1,TT1,TT2plus,VITAU1,VITAO1,PLUS1,PLUS2,PLUS3,Plus Name1,Plus name2,Plus Name3,GWD,AFP,IsmainRnd
9605079,Nasarawa,Akwanga,Ancho Babba,1-Jul-17,NasarawaAkwangaANCHO BABBA01/07/2017-1,49,0,6,0,137,1749,2167,0,1889,0,141,0,1640,1781,0,0,0,0,0,0,53,111,42,88,13,23,0,0,3895,10,20,34,0,0,0,0,0,0,48,0,48,0,17,38,0,0,0,0,0,,,,0,0,TRUE
40245208,Nasarawa,Akwanga,Andaha,1-Jul-17,NasarawaAkwangaANDAHA01/07/2017-1,57,0,11,13,130,3668,5049,2,3479,122,225,0,956,1303,0,0,0,0,0,0,125,156,118,135,7,11,0,0,5060,24,19,19,0,0,0,10,0,0,41,0,41,0,16,50,0,0,0,0,0,,,,0,0,TRUE
4732446,Nasarawa,Akwanga,Gudi,1-Jul-17,NasarawaAkwangaGUDI01/07/2017-1,53,0,5,8,92,2427,2785,3,2709,0,128,0,1318,1446,0,0,0,0,0,0,63,80,62,78,1,2,0,0,4333,12,14,23,0,0,0,0,0,0,21,0,21,0,8,16,0,0,0,0,0,,,,0,0,TRUE
23342291,Nasarawa,Akwanga,Gwanje,1-Jul-17,NasarawaAkwangaGWANJE01/07/2017-1,53,0,6,0,73,2517,3294,0,2664,0,89,0,369,458,0,0,0,0,0,0,87,129,70,106,17,23,0,0,3301,13,20,32,0,0,0,0,0,0,55,0,55,0,20,39,0,0,0,0,0,,,,0,0,TRUE
20764321,Nasarawa,Akwanga,Moroa,1-Jul-17,NasarawaAkwangaMOROA01/07/2017-1,32,0,5,5,91,2603,3667,5,2738,0,610,0,1415,2025,0,0,0,0,0,0,33,61,30,57,3,4,0,0,4916,31,18,15,0,0,0,0,0,0,40,0,40,0,18,48,0,0,0,0,0,,,,0,0,TRUE
40951657,Nasarawa,Akwanga,Ningha An,1-Jul-17,NasarawaAkwangaNINGHA AN01/07/2017-1,39,0,8,0,59,1633,2717,0,2589,0,112,0,555,667,0,0,0,0,0,0,32,53,22,42,10,11,0,0,3357,25,22,27,0,0,0,0,0,0,14,0,14,0,22,39,0,0,0,0,0,,,,0,0,TRUE
50331634,Nasarawa,Akwanga,Nunku,1-Jul-17,NasarawaAkwangaNUNKU01/07/2017-1,41,0,5,0,205,2151,3191,6,3066,0,225,0,947,1172,0,0,0,0,0,0,79,126,78,125,1,1,0,0,4568,23,22,24,0,0,0,12,0,0,54,0,54,0,22,42,0,0,0,0,0,,,,0,0,TRUE
46940237,Nasarawa,Awe,Akiri,1-Jul-17,NasarawaAweAKIRI01/07/2017-1,68,0,4,26,223,3718,6745,28,5755,41,0,0,667,708,0,0,0,0,0,0,23,31,23,31,0,0,0,0,6743,40,29,32,0,0,0,17,0,0,72,0,55,0,57,49,0,0,0,0,0,,,,0,0,TRUE
52584566,Nasarawa,Awe,Azara,1-Jul-17,NasarawaAweAZARA01/07/2017-1,83,0,5,20,181,6535,10857,25,9017,95,236,0,1238,1569,2,3,2,3,0,0,37,70,37,70,0,0,0,0,10860,28,22,25,0,0,0,59,0,0,66,0,66,0,30,48,0,0,0,0,0,,,,0,0,TRUE
34429493,Nasarawa,Awe,Galadima,1-Jul-17,NasarawaAweGALADIMA01/07/2017-1,48,0,2,4,186,2630,7520,10,5358,225,20,0,1690,1935,5,6,5,6,0,0,82,121,82,121,0,0,0,0,7610,23,23,26,0,0,0,31,0,0,35,0,35,0,38,33,0,0,0,0,0,,,,0,0,TRUE
4660339,Nasarawa,Awe,Jangaru,1-Jul-17,NasarawaAweJANGARU01/07/2017-1,29,0,3,8,142,1663,5108,0,5088,0,163,0,1076,1239,0,0,0,0,0,0,22,26,22,26,0,0,0,0,6503,26,16,22,0,0,0,22,0,0,27,0,27,0,24,38,0,0,0,0,0,,,,0,0,TRUE
32167918,Nasarawa,Awe,Madaki,1-Jul-17,NasarawaAweMADAKI01/07/2017-1,66,0,4,26,296,6017,5729,19,5611,354,137,0,2034,2525,2,2,2,2,0,0,72,114,72,114,0,0,0,0,8574,59,47,44,0,0,0,49,0,0,65,0,60,0,46,79,0,0,0,0,0,,,,0,0,TRUE
36696227,Nasarawa,Awe,Makwangiji,1-Jul-17,NasarawaAweMAKWANGIJI01/07/2017-1,40,0,5,0,264,4020,10932,8,6839,170,303,0,2358,2831,1,3,1,3,0,0,79,96,79,96,0,0,0,0,10033,37,33,35,0,0,0,40,0,0,63,0,63,0,57,32,0,0,0,0,0,,,,0,0,TRUE
23159751,Nasarawa,Awe,Ribi,1-Jul-17,NasarawaAweRIBI01/07/2017-1,44,0,4,8,120,2251,7208,11,5745,28,145,0,1095,1268,0,0,0,0,0,0,42,77,42,77,0,0,0,0,7218,20,20,26,0,0,0,67,0,0,66,0,66,0,26,42,0,0,0,0,0,,,,0,0,TRUE
