Tally ID,State,Lga,Ward,DateImp,UNQWardRec,No_settlements,NCSchool,NoTeams,FPZERO,FPOTHER,NOHseVist,EligCild,HSEZERO,HSEOTHER,SP_QuranSch,SP_OtherSch,ImmChurch,OUT_other,TotalOUTSIDE,NONCompHH,NC_child,NCHHRevst,NCChildRevst,NCHHpend,NCchildpend,AbHH,AB_child,ABHHRevst,ABChildRevst,ABHHpend,ABchildpend,OTHZERO,OTHOTHER,TOTALOPV,6WKDPT1,6WKDPT2,6WKDPT3,12MTHDPT1,12MTHDPT2,12MTHDPT3,HepB1,HepB2,HepB3,MEASLESU1,MEASLESO1,YellowU1,YellowO1,TT1,TT2plus,VITAU1,VITAO1,PLUS1,PLUS2,PLUS3,Plus Name1,Plus name2,Plus Name3,GWD,AFP,IsmainRnd
3978210,Jigawa,Auyo,Auyakayi,1-Mar-17,JigawaAuyoAuyakayi01/03/2017-1,22,0,4,2,61,1746,3140,39,2897,0,0,0,538,538,3,6,3,6,0,0,99,138,99,138,0,0,0,0,3642,61,63,46,0,0,0,45,0,0,47,14,48,9,49,4,0,0,3642,0,0,Sweets,,,0,0,TRUE
19554536,Jigawa,Auyo,Auyo,1-Mar-17,JigawaAuyoAuyo01/03/2017-1,30,0,7,0,0,2624,5066,43,3647,0,520,0,652,1172,12,20,12,20,0,0,168,227,168,227,0,0,0,0,5066,24,19,20,0,0,0,50,0,0,58,0,58,0,30,29,0,0,5066,0,0,Sweets,,,0,0,TRUE
8983770,Jigawa,Auyo,Ayama,1-Mar-17,JigawaAuyoAyama01/03/2017-1,33,0,8,3,169,2882,4802,14,4010,0,0,0,399,399,3,5,3,5,0,0,144,218,143,217,1,1,0,0,4803,31,24,24,0,0,0,37,0,0,123,0,123,0,24,21,0,0,4803,0,0,Sweets,,,0,0,TRUE
22002407,Jigawa,Auyo,Ayan,1-Mar-17,JigawaAuyoAyan01/03/2017-1,24,0,5,0,267,1510,3085,20,2519,50,0,0,304,354,5,7,5,7,0,0,85,127,85,127,0,0,0,0,3274,37,21,8,0,0,0,27,14,0,53,12,50,13,34,24,0,0,3274,0,0,Sweets,,,0,0,TRUE
18632187,Jigawa,Auyo,Gamafoi,1-Mar-17,JigawaAuyoGamafoi01/03/2017-1,16,0,4,0,179,1330,2029,18,1923,0,0,0,357,357,5,8,5,8,0,0,64,98,64,98,0,0,0,0,2565,46,31,22,0,0,0,44,0,0,57,0,42,15,31,18,0,0,2565,0,0,Sweets,,,0,0,TRUE
14230453,Jigawa,Auyo,Gamsarka,1-Mar-17,JigawaAuyoGamsarka01/03/2017-1,28,0,7,22,260,2304,3861,21,3585,19,51,0,414,484,25,39,25,39,0,0,147,239,147,239,0,0,0,0,4629,22,14,15,0,0,0,19,0,0,59,4,59,4,40,8,0,0,4629,0,0,Sweets,,,0,0,TRUE
16019442,Jigawa,Auyo,Gatafa,1-Mar-17,JigawaAuyoGatafa01/03/2017-1,17,0,4,0,242,1422,2985,20,2469,0,54,0,799,853,7,15,6,13,1,2,130,218,128,215,2,3,0,0,3792,29,26,22,0,0,0,41,0,0,54,0,54,0,28,22,0,0,3792,0,0,Sweets,,,0,0,TRUE
11324794,Jigawa,Auyo,Kafur,1-Mar-17,JigawaAuyoKafur01/03/2017-1,20,0,5,5,160,1939,3620,0,2939,58,84,0,119,261,39,66,39,66,0,0,104,189,104,189,0,0,0,0,3620,37,27,4,0,0,0,46,0,0,68,0,68,0,66,0,0,0,3615,0,0,Sweets,,,0,0,TRUE
26036366,Bauchi,Bauchi,Tirwun,1-Mar-17,BauchiBauchiTirwun01/03/2017-1,103,0,30,0,612,15115,20544,66,17640,0,94,161,825,1080,199,340,133,233,66,107,218,343,188,291,30,52,9,4723,24588,14,12,7,0,0,0,0,0,0,15,12,15,12,10,9,0,0,18088,2520,0,Sweets,Detergent,,0,0,TRUE
21984887,Bauchi,Bauchi,Yamrat,1-Mar-17,BauchiBauchiYamrat01/03/2017-1,58,0,11,10,41,1350,7015,7,6250,0,49,7,390,446,73,171,48,106,25,65,62,127,49,96,13,31,0,0,6949,6,4,5,0,0,0,7,0,0,9,12,9,12,10,11,0,0,6950,0,0,Sweets,,,0,0,TRUE
