Tally ID,State,Lga,Ward,DateImp,UNQWardRec,No_settlements,NCSchool,NoTeams,FPZERO,FPOTHER,NOHseVist,EligCild,HSEZERO,HSEOTHER,SP_QuranSch,SP_OtherSch,ImmChurch,OUT_other,TotalOUTSIDE,NONCompHH,NC_child,NCHHRevst,NCChildRevst,NCHHpend,NCchildpend,AbHH,AB_child,ABHHRevst,ABChildRevst,ABHHpend,ABchildpend,OTHZERO,OTHOTHER,TOTALOPV,6WKDPT1,6WKDPT2,6WKDPT3,12MTHDPT1,12MTHDPT2,12MTHDPT3,HepB1,HepB2,HepB3,MEASLESU1,MEASLESO1,YellowU1,YellowO1,TT1,TT2plus,VITAU1,VITAO1,PLUS1,PLUS2,PLUS3,Plus Name1,Plus name2,Plus Name3,GWD,AFP,IsmainRnd
30169623,Sokoto,Binji,Binji,1-Aug-17,SokotoBinjiBinji01/08/2017-1,20,0,4,2,19,2425,5571,11,2746,563,0,0,181,744,17,27,15,23,2,4,43,67,43,67,0,0,0,0,3601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3601,0,0,Sweets,,,0,0,TRUE
31134118,Sokoto,Binji,Bunkari,1-Aug-17,SokotoBinjiBunkari01/08/2017-1,26,0,5,0,6,2274,5074,7,3098,223,0,0,252,475,7,9,5,7,2,2,27,43,26,42,1,1,0,0,3628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,Sweets,,,0,0,TRUE
45059035,Sokoto,Binji,Gawazai,1-Aug-17,SokotoBinjiGawazai01/08/2017-1,18,0,5,0,16,1902,5987,4,2997,262,0,0,289,551,4,4,4,4,0,0,44,63,42,59,2,4,0,0,3627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,Sweets,,,0,0,TRUE
50778574,Sokoto,Binji,Inname,1-Aug-17,SokotoBinjiInname01/08/2017-1,13,0,3,0,12,1186,3413,3,1857,106,0,0,117,223,6,12,6,12,0,0,43,49,38,43,5,6,0,0,2147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,0,0,Sweets,,,0,0,TRUE
8715488,Sokoto,Binji,Jamali,1-Aug-17,SokotoBinjiJamali01/08/2017-1,17,0,4,1,11,1700,3251,2,2626,214,0,0,196,410,1,2,0,0,1,2,7,28,7,28,0,0,0,0,3076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,0,0,Sweets,,,0,0,TRUE
4605728,Sokoto,Binji,Maikulki,1-Aug-17,SokotoBinjiMaikulki01/08/2017-1,27,0,6,0,18,2340,3617,12,4066,513,0,0,331,844,7,12,5,8,2,4,44,53,41,46,3,7,0,0,4982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,Sweets,,,0,0,TRUE
50152836,Sokoto,Binji,Samama,1-Aug-17,SokotoBinjiSamama01/08/2017-1,12,0,3,0,13,4615,3552,5,2662,239,0,0,213,452,12,17,12,17,0,0,15,28,15,28,0,0,0,0,3172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,Sweets,,,0,0,TRUE
45347787,Sokoto,Binji,Soron Gabas,1-Aug-17,SokotoBinjiSoron Gabas01/08/2017-1,30,0,6,0,8,2161,4872,3,2672,423,0,0,391,814,0,0,0,0,0,0,8,11,8,11,0,0,0,0,3505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,Sweets,,,0,0,TRUE
48738003,Sokoto,Binji,Soron Yamma,1-Aug-17,SokotoBinjiSoron Yamma01/08/2017-1,26,0,4,1,15,2015,5136,6,2625,313,0,0,259,572,0,0,0,0,0,0,22,25,22,25,0,0,0,0,3238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,Sweets,,,0,0,TRUE
47103833,Sokoto,Binji,Tudun Kose,1-Aug-17,SokotoBinjiTudun Kose01/08/2017-1,18,0,4,0,10,1319,3326,4,2510,159,0,0,149,308,0,0,0,0,0,0,19,29,18,28,1,1,0,0,2856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,Sweets,,,0,0,TRUE
16918365,Sokoto,Bodinga,Bagarawa,1-Aug-17,SokotoBodingaBagarawa01/08/2017-1,19,0,4,0,48,1682,2439,22,1728,231,0,0,796,1027,72,148,62,130,10,18,39,52,37,50,2,2,0,1736,4719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,Sweets,,,0,0,TRUE
37882289,Sokoto,Bodinga,Bangi Dabaga,1-Aug-17,SokotoBodingaBangi Dabaga01/08/2017-1,84,0,21,0,42,4513,8340,13,4084,436,0,0,1401,1837,2,6,2,6,0,0,143,169,142,168,1,1,0,1530,7667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,Sweets,,,0,0,TRUE
