Id,DateVac,State,Lga,Ward,OPVvialsRced,OPVVialsused,DPTvials recd,DPTvials Used,HepBvials recd,HepBvials Used,Measlesvials Recd,MeaslesvialsUsed,MESDiluentsRecd,MESDiluentsUsed,Yellowvials recd,Yellowvials Used,YFDiluentsRecd,YFDiluentsUsed,TTvials recd,TTvials Used,ADsyringeRecd,ADsyringeUsed,ReconsyringeRecd,ReconsyringeUsed,AEFI,uniqvac,IsmainRnd,IPVVials Rced,IPVVials Used,PCVvials recd,PCVvials Used
16903,1-Apr-17,Bauchi,Ganjuwa,Kubi A,379,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGanjuwaKubi A01/04/2017-1,TRUE,,,,
16904,1-Apr-17,Bauchi,Ganjuwa,Miya C,332,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGanjuwaMiya C01/04/2017-1,TRUE,,,,
16905,1-Apr-17,Bauchi,Ganjuwa,Yali,253,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGanjuwaYali01/04/2017-1,TRUE,,,,
16906,1-Apr-17,Bauchi,Giade,Doguwa,253,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGiadeDoguwa01/04/2017-1,TRUE,,,,
16907,1-Apr-17,Bauchi,Ganjuwa,Nassarawa B,294,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGanjuwaNassarawa B01/04/2017-1,TRUE,,,,
16908,1-Apr-17,Bauchi,Giade,Faguji,176,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGiadeFaguji01/04/2017-1,TRUE,,,,
16909,1-Apr-17,Bauchi,Ganjuwa,Nassarawa A,349,349,6,6,0,0,4,4,4,4,4,4,4,4,3,3,150,131,8,8,0,BauchiGanjuwaNassarawa A01/04/2017-1,TRUE,,,,
16910,1-Apr-17,Akwa Ibom,Esit Eket,Etebi 1,78,72,2,1,1,1,1,1,1,1,1,1,1,1,1,1,100,33,3,3,0,Akwa IbomEsit EketETEBI WD  701/04/2017-1,TRUE,,,,
16911,1-Apr-17,Bauchi,Giade,Chinkani,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGiadeChinkani01/04/2017-1,TRUE,,,,
16912,1-Apr-17,Bauchi,Ganjuwa,Miya B,325,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGanjuwaMiya B01/04/2017-1,TRUE,,,,
16913,1-Apr-17,Bauchi,Ganjuwa,Kubi B,371,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BauchiGanjuwaKubi B01/04/2017-1,TRUE,,,,
16914,1-Apr-17,Akwa Ibom,Esit Eket,Okposo Odoronkit,131,131,6,6,3,3,3,3,3,3,3,3,3,3,3,3,264,264,6,6,0,Akwa IbomEsit EketOKPOSO ODORONKIT WD 1001/04/2017-1,TRUE,,,,
16915,1-Apr-17,Akwa Ibom,Eket,Urban 3,434,434,10,10,5,5,5,5,5,5,5,5,5,5,13,13,465,465,14,14,0,Akwa IbomEketURBAN 301/04/2017-1,TRUE,,,,
16916,1-Apr-17,Akwa Ibom,Eket,Urban 2,260,260,2,2,1,1,1,1,1,1,1,1,1,1,1,1,53,53,3,3,0,Akwa IbomEketURBAN 201/04/2017-1,TRUE,,,,
