Id,DateVac,State,Lga,Ward,OPVvialsRced,OPVVialsused,DPTvials recd,DPTvials Used,HepBvials recd,HepBvials Used,Measlesvials Recd,MeaslesvialsUsed,MESDiluentsRecd,MESDiluentsUsed,Yellowvials recd,Yellowvials Used,YFDiluentsRecd,YFDiluentsUsed,TTvials recd,TTvials Used,ADsyringeRecd,ADsyringeUsed,ReconsyringeRecd,ReconsyringeUsed,AEFI,uniqvac,IsmainRnd,IPVVials Rced,IPVVials Used,PCVvials recd,PCVvials Used
4280,1-Feb-17,Jigawa,Sule Tankarkar,Albasu,266,266,8,8,8,8,8,8,8,8,8,8,8,8,8,8,488,425,20,16,0,JigawaSule TankarkarAlbasu01/02/2017-1,TRUE,,,,
4281,1-Feb-17,Jigawa,Sule Tankarkar,Amanga,353,353,8,8,8,6,8,8,8,8,8,8,8,8,8,8,400,302,20,16,0,JigawaSule TankarkarAmanga01/02/2017-1,TRUE,,,,
4282,1-Feb-17,Jigawa,Roni,Zugai,236,236,8,8,4,4,8,8,8,8,8,8,8,8,8,8,400,290,16,16,0,JigawaRoniZugai01/02/2017-1,TRUE,,,,
4283,1-Feb-17,Jigawa,Taura,Chukuto,381,345,10,10,2,2,8,8,8,8,8,8,8,8,2,2,390,345,19,17,0,JigawaTauraChukuto01/02/2017-1,TRUE,,,,
4284,1-Feb-17,Jigawa,Yankwashi,Gurjiya,291,291,8,8,8,8,8,8,8,8,8,8,8,8,8,8,400,222,8,8,0,JigawaYankwashiGurjiya01/02/2017-1,TRUE,,,,
4285,1-Feb-17,Jigawa,Yankwashi,Dawan Gawo,92,92,8,8,8,1,8,8,8,8,8,8,8,8,6,6,400,304,16,16,0,JigawaYankwashiDawan Gawo01/02/2017-1,TRUE,,,,
4286,1-Feb-17,Jigawa,Yankwashi,Belas,113,113,8,8,8,8,8,8,8,88,8,8,8,8,8,8,400,264,14,14,0,JigawaYankwashiBelas01/02/2017-1,TRUE,,,,
4287,1-Feb-17,Jigawa,Yankwashi,Achilafiya,248,248,8,8,8,8,8,8,8,8,8,0,8,8,8,8,580,290,16,16,0,JigawaYankwashiAchilafiya01/02/2017-1,TRUE,,,,
4288,1-Feb-17,Jigawa,Taura,Taura,420,385,9,8,2,0,5,5,5,5,5,5,5,5,8,6,430,377,35,32,0,JigawaTauraTaura01/02/2017-1,TRUE,,,,
4289,1-Feb-17,Jigawa,Taura,Sabon Gari,247,210,10,10,0,0,9,7,9,7,9,7,9,7,4,4,400,350,30,20,0,JigawaTauraSabon Gari01/02/2017-1,TRUE,,,,
4290,1-Feb-17,Jigawa,Taura,Majia,293,275,9,9,7,7,7,7,7,7,7,7,7,7,0,0,440,376,21,21,0,JigawaTauraMajia01/02/2017-1,TRUE,,,,
4291,1-Feb-17,Jigawa,Taura,Maje,260,235,9,7,1,1,6,6,6,6,6,6,6,6,1,1,310,250,21,18,0,JigawaTauraMaje01/02/2017-1,TRUE,,,,
4292,1-Feb-17,Jigawa,Taura,Kwalam,479,425,8,8,0,0,8,8,8,8,7,7,7,7,0,0,430,373,29,26,0,JigawaTauraKwalam01/02/2017-1,TRUE,,,,
4293,1-Feb-17,Jigawa,Sule Tankarkar,Shabaru,269,269,8,8,6,6,16,16,16,16,16,16,16,16,8,8,380,350,35,34,0,JigawaSule TankarkarShabaru01/02/2017-1,TRUE,,,,
4294,1-Feb-17,Jigawa,Taura,Gujungu,366,345,8,8,6,6,10,10,10,10,10,10,10,10,0,0,280,278,323,22,0,JigawaTauraGujungu01/02/2017-1,TRUE,,,,
4295,1-Feb-17,Jigawa,Sule Tankarkar,Dangwanki,610,599,8,8,6,6,8,8,8,8,8,8,8,8,8,8,480,275,24,24,0,JigawaSule TankarkarDangwanki01/02/2017-1,TRUE,,,,
4296,1-Feb-17,Jigawa,Taura,Chikwaikwaiwa,141,115,10,10,0,0,3,2,3,2,3,2,3,2,0,0,340,262,15,14,0,JigawaTauraChikwaikwaiwa01/02/2017-1,TRUE,,,,
4297,1-Feb-17,Jigawa,Taura,Ajaura,299,285,8,8,8,8,10,9,10,9,10,9,10,9,0,0,370,314,29,28,0,JigawaTauraAjaura01/02/2017-1,TRUE,,,,
4298,1-Feb-17,Jigawa,Sule Tankarkar,Yandamo,342,340,8,8,8,7,8,8,8,8,8,8,8,8,8,8,400,360,24,24,0,JigawaSule TankarkarYandamo01/02/2017-1,TRUE,,,,
4299,1-Feb-17,Jigawa,Sule Tankarkar,Takatsaba,263,263,8,8,8,8,8,8,8,8,8,8,8,8,8,8,520,410,16,16,0,JigawaSule TankarkarTakatsaba01/02/2017-1,TRUE,,,,
4300,1-Feb-17,Jigawa,Roni,Sankau,247,247,8,7,4,3,8,7,8,7,8,7,8,7,8,8,400,229,16,14,0,JigawaRoniSankau01/02/2017-1,TRUE,,,,
4301,1-Feb-17,Jigawa,Sule Tankarkar,Sule Tankarkar,505,503,16,16,6,6,7,7,7,7,7,7,7,7,16,16,800,560,14,14,0,JigawaSule TankarkarSule Tankarkar01/02/2017-1,TRUE,,,,
4302,1-Feb-17,Jigawa,Yankwashi,Gwarta,230,230,8,4,8,0,8,4,8,4,8,4,8,4,8,4,190,88,14,8,0,JigawaYankwashiGwarta01/02/2017-1,TRUE,,,,
