Id,DateVac,State,Lga,Ward,OPVvialsRced,OPVVialsused,DPTvials recd,DPTvials Used,HepBvials recd,HepBvials Used,Measlesvials Recd,MeaslesvialsUsed,MESDiluentsRecd,MESDiluentsUsed,Yellowvials recd,Yellowvials Used,YFDiluentsRecd,YFDiluentsUsed,TTvials recd,TTvials Used,ADsyringeRecd,ADsyringeUsed,ReconsyringeRecd,ReconsyringeUsed,AEFI,uniqvac,IsmainRnd,IPVVials Rced,IPVVials Used,PCVvials recd,PCVvials Used
1,1-Jan-17,Kano,Kano Municipal,Tudun Wazurchi,415,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKano MunicipalTudun Wazurchi01/01/2017IPD,TRUE,,,,
2,1-Jan-17,Kano,Karaye,Magajin Gari,302,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKarayeMagajin Gari01/01/2017IPD,TRUE,,,,
3,1-Jan-17,Kano,Karaye,Magaji Hajji,146,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKarayeMagaji Hajji01/01/2017IPD,TRUE,,,,
4,1-Jan-17,Kano,Karaye,Kwanyawa,368,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKarayeKwanyawa01/01/2017IPD,TRUE,,,,
5,1-Jan-17,Kano,Karaye,Kurugu,263,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKarayeKurugu01/01/2017IPD,TRUE,,,,
6,1-Jan-17,Kano,Karaye,Kafin Dabga,338,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKarayeKafin Dabga01/01/2017IPD,TRUE,,,,
7,1-Jan-17,Kano,Karaye,Daura,310,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKarayeDaura01/01/2017IPD,TRUE,,,,
8,1-Jan-17,Kano,Kano Municipal,Zango,420,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKano MunicipalZango01/01/2017IPD,TRUE,,,,
9,1-Jan-17,Kano,Albasu,Fanda,269,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoAlbasuFanda01/01/2017IPD,TRUE,,,,
10,1-Jan-17,Kano,Kano Municipal,Yakasai,292,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKano MunicipalYakasai01/01/2017IPD,TRUE,,,,
11,1-Jan-17,Kano,Karaye,Yammedi,267,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKarayeYammedi01/01/2017IPD,TRUE,,,,
12,1-Jan-17,Kano,Kano Municipal,Tudun Nufawa,231,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKano MunicipalTudun Nufawa01/01/2017IPD,TRUE,,,,
13,1-Jan-17,Kano,Kano Municipal,She She,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKano MunicipalShe She01/01/2017IPD,TRUE,,,,
14,1-Jan-17,Kano,Kano Municipal,Sharada,642,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKano MunicipalSharada01/01/2017IPD,TRUE,,,,
15,1-Jan-17,Kano,Kano Municipal,Shahuchi,284,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKano MunicipalShahuchi01/01/2017IPD,TRUE,,,,
16,1-Jan-17,Kano,Kano Municipal,Kan Karofi,342,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKano MunicipalKan Karofi01/01/2017IPD,TRUE,,,,
17,1-Jan-17,Kano,Kano Municipal,Jakara,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKano MunicipalJakara01/01/2017IPD,TRUE,,,,
18,1-Jan-17,Kano,Kano Municipal,Gandu Albasa,539,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKano MunicipalGandu Albasa01/01/2017IPD,TRUE,,,,
19,1-Jan-17,Kano,Kano Municipal,Zaitawa,345,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKano MunicipalZaitawa01/01/2017IPD,TRUE,,,,
20,1-Jan-17,Kano,Kibiya,Kibiya 2,112,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKibiyaKibiya 201/01/2017IPD,TRUE,,,,
21,1-Jan-17,Kano,Kiru,Dansoshiya,320,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKiruDansoshiya01/01/2017IPD,TRUE,,,,
22,1-Jan-17,Kano,Kiru,Dangora,370,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKiruDangora01/01/2017IPD,TRUE,,,,
23,1-Jan-17,Kano,Kiru,Bauda,315,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKiruBauda01/01/2017IPD,TRUE,,,,
24,1-Jan-17,Kano,Kiru,Bargoni,482,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKiruBargoni01/01/2017IPD,TRUE,,,,
25,1-Jan-17,Kano,Kiru,Badafi,484,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKiruBadafi01/01/2017IPD,TRUE,,,,
26,1-Jan-17,Kano,Kiru,Baawa,489,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKiruBaawa01/01/2017IPD,TRUE,,,,
27,1-Jan-17,Kano,Kibiya,Unguwar Gai,220,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKibiyaUnguwar Gai01/01/2017IPD,TRUE,,,,
28,1-Jan-17,Kano,Karaye,Tudun Kaya,260,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKarayeTudun Kaya01/01/2017IPD,TRUE,,,,
29,1-Jan-17,Kano,Kibiya,Nariya,245,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKibiyaNariya01/01/2017IPD,TRUE,,,,
30,1-Jan-17,Kano,Karaye,Turawa,279,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKarayeTurawa01/01/2017IPD,TRUE,,,,
31,1-Jan-17,Kano,Kibiya,Kibiya 1,145,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKibiyaKibiya 101/01/2017IPD,TRUE,,,,
32,1-Jan-17,Kano,Kibiya,Kahu,313,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKibiyaKahu01/01/2017IPD,TRUE,,,,
33,1-Jan-17,Kano,Kibiya,Kadigawa,106,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKibiyaKadigawa01/01/2017IPD,TRUE,,,,
34,1-Jan-17,Kano,Kibiya,Fassi,387,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKibiyaFassi01/01/2017IPD,TRUE,,,,
35,1-Jan-17,Kano,Kibiya,Fammar,242,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKibiyaFammar01/01/2017IPD,TRUE,,,,
36,1-Jan-17,Kano,Kibiya,Durba,154,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKibiyaDurba01/01/2017IPD,TRUE,,,,
37,1-Jan-17,Kano,Karaye,Yola,198,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKarayeYola01/01/2017IPD,TRUE,,,,
38,1-Jan-17,Kano,Kabo,Masanawa,161,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKaboMasanawa01/01/2017IPD,TRUE,,,,
39,1-Jan-17,Kano,Kibiya,Tarai,331,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKibiyaTarai01/01/2017IPD,TRUE,,,,
40,1-Jan-17,Kano,Gezawa,Wangara,335,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGezawaWangara01/01/2017IPD,TRUE,,,,
41,1-Jan-17,Kano,Kano Municipal,Dan Agundi,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKano MunicipalDan Agundi01/01/2017IPD,TRUE,,,,
42,1-Jan-17,Kano,Gwale,Gyaranya,250,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGwaleGyaranya01/01/2017IPD,TRUE,,,,
43,1-Jan-17,Kano,Gwale,Gwale,489,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGwaleGwale01/01/2017IPD,TRUE,,,,
44,1-Jan-17,Kano,Gwale,Goron Dutse,239,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGwaleGoron Dutse01/01/2017IPD,TRUE,,,,
45,1-Jan-17,Kano,Gwale,Galadanchi,211,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGwaleGaladanchi01/01/2017IPD,TRUE,,,,
46,1-Jan-17,Kano,Gwale,Dorayi,3208,3206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGwaleDorayi01/01/2017IPD,TRUE,,,,
47,1-Jan-17,Kano,Gwale,Diso,129,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGwaleDiso01/01/2017IPD,TRUE,,,,
48,1-Jan-17,Kano,Gwale,Mandawari,200,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGwaleMandawari01/01/2017IPD,TRUE,,,,
49,1-Jan-17,Kano,Gezawa,Zango,527,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGezawaZango01/01/2017IPD,TRUE,,,,
50,1-Jan-17,Kano,Gwale,Sani Mai Nagge,570,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGwaleSani Mai Nagge01/01/2017IPD,TRUE,,,,
51,1-Jan-17,Kano,Gezawa,Tumbau,264,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGezawaTumbau01/01/2017IPD,TRUE,,,,
52,1-Jan-17,Kano,Gezawa,Tsamiya Babba,642,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGezawaTsamiya Babba01/01/2017IPD,TRUE,,,,
53,1-Jan-17,Kano,Gezawa,Sararin Gezawa,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGezawaSararin Gezawa01/01/2017IPD,TRUE,,,,
54,1-Jan-17,Kano,Gezawa,Mesar Tudu,286,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGezawaMesar Tudu01/01/2017IPD,TRUE,,,,
55,1-Jan-17,Kano,Gezawa,Ketawa,440,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGezawaKetawa01/01/2017IPD,TRUE,,,,
56,1-Jan-17,Kano,Gezawa,Jogana,549,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGezawaJogana01/01/2017IPD,TRUE,,,,
57,1-Jan-17,Kano,Gezawa,Gezawa,335,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGezawaGezawa01/01/2017IPD,TRUE,,,,
58,1-Jan-17,Kano,Gezawa,Gawo,311,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGezawaGawo01/01/2017IPD,TRUE,,,,
59,1-Jan-17,Kano,Gwale,Dandago,536,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGwaleDandago01/01/2017IPD,TRUE,,,,
60,1-Jan-17,Kano,Kabo,Dugabau,284,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKaboDugabau01/01/2017IPD,TRUE,,,,
61,1-Jan-17,Kano,Kiru,Kiru,654,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKiruKiru01/01/2017IPD,TRUE,,,,
62,1-Jan-17,Kano,Kabo,Kanwa,167,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKaboKanwa01/01/2017IPD,TRUE,,,,
63,1-Jan-17,Kano,Kabo,Kabo,291,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKaboKabo01/01/2017IPD,TRUE,,,,
64,1-Jan-17,Kano,Kabo,Hawadin Galadima,142,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKaboHawadin Galadima01/01/2017IPD,TRUE,,,,
65,1-Jan-17,Kano,Kabo,Gude,198,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKaboGude01/01/2017IPD,TRUE,,,,
66,1-Jan-17,Kano,Kabo,Godiya,306,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKaboGodiya01/01/2017IPD,TRUE,,,,
67,1-Jan-17,Kano,Kabo,Garo,475,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKaboGaro01/01/2017IPD,TRUE,,,,
68,1-Jan-17,Kano,Gwale,Kabuga,1853,1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoGwaleKabuga01/01/2017IPD,TRUE,,,,
69,1-Jan-17,Kano,Kabo,Durun,225,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKaboDurun01/01/2017IPD,TRUE,,,,
70,1-Jan-17,Kano,Kano Municipal,Chedi,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KanoKano MunicipalChedi01/01/2017IPD,TRUE,,,,
