Id,DateVac,State,Lga,Ward,OPVvialsRced,OPVVialsused,DPTvials recd,DPTvials Used,HepBvials recd,HepBvials Used,Measlesvials Recd,MeaslesvialsUsed,MESDiluentsRecd,MESDiluentsUsed,Yellowvials recd,Yellowvials Used,YFDiluentsRecd,YFDiluentsUsed,TTvials recd,TTvials Used,ADsyringeRecd,ADsyringeUsed,ReconsyringeRecd,ReconsyringeUsed,AEFI,uniqvac,IsmainRnd,IPVVials Rced,IPVVials Used,PCVvials recd,PCVvials Used
,1-Jul-17,Adamawa,Demsa,Bille,439,439,6,6,2,2,4,4,4,4,4,4,4,4,5,5,281,281,8,8,0,AdamawaDemsaBille01/07/2017-1,TRUE,4,4,5,5
,1-Jul-17,Adamawa,Demsa,Borrong,177,177,5,5,2,2,4,4,4,4,4,4,4,4,5,5,263,263,8,8,0,AdamawaDemsaBorrong01/07/2017-1,TRUE,4,4,5,5
,1-Jul-17,Adamawa,Demsa,Demsa,481,481,5,5,2,2,4,4,4,4,4,4,4,4,5,5,271,271,8,8,0,AdamawaDemsaDemsa01/07/2017-1,TRUE,4,4,5,5
,1-Jul-17,Adamawa,Demsa,Dilli,179,179,5,5,2,2,4,4,4,4,4,4,4,4,5,5,266,266,8,8,0,AdamawaDemsaDilli01/07/2017-1,TRUE,4,4,5,5
,1-Jul-17,Adamawa,Demsa,Dong,315,315,5,5,2,2,4,4,4,4,4,4,4,4,5,5,255,255,8,8,0,AdamawaDemsaDong01/07/2017-1,TRUE,4,4,5,5
,1-Jul-17,Adamawa,Demsa,Dwam,204,204,5,5,2,2,4,4,4,4,4,4,4,4,5,5,272,272,8,8,0,AdamawaDemsaDwam01/07/2017-1,TRUE,4,4,5,5
,1-Jul-17,Adamawa,Demsa,Gwamba,157,157,5,5,2,2,4,4,4,4,4,4,4,4,5,5,255,255,8,8,0,AdamawaDemsaGwamba01/07/2017-1,TRUE,4,4,5,5
,1-Jul-17,Adamawa,Demsa,Kpasham,343,343,5,5,2,2,4,4,4,4,4,4,4,4,5,5,265,265,8,8,0,AdamawaDemsaKpasham01/07/2017-1,TRUE,4,4,5,5
,1-Jul-17,Adamawa,Demsa,Mbula,211,211,5,5,2,2,4,4,4,4,4,4,4,4,5,5,271,271,8,8,0,AdamawaDemsaMbula01/07/2017-1,TRUE,4,4,5,5
,1-Jul-17,Adamawa,Demsa,Nassarawo Demsa,659,659,7,7,2,2,4,4,4,4,4,4,4,4,6,6,333,333,8,8,0,AdamawaDemsaNassarawo Demsa01/07/2017-1,TRUE,6,6,5,5
,1-Jul-17,Adamawa,Fufore,Beti,452,452,10,10,2,2,8,8,8,8,8,8,8,8,3,3,298,298,16,16,0,AdamawaFuforeBeti01/07/2017-1,TRUE,0,0,51,51
,1-Jul-17,Adamawa,Fufore,Farang,568,568,6,6,0,0,6,6,6,6,6,6,6,6,2,2,188,188,12,12,0,AdamawaFuforeFarang01/07/2017-1,TRUE,0,0,19,19
,1-Jul-17,Adamawa,Fufore,Fufore,387,387,4,4,0,0,7,7,7,7,4,4,4,4,5,5,170,170,11,11,0,AdamawaFuforeFufore01/07/2017-1,TRUE,0,0,13,13
,1-Jul-17,Adamawa,Fufore,Gurin,536,536,8,8,0,0,8,8,8,8,8,8,8,8,10,10,264,264,16,16,0,AdamawaFuforeGurin01/07/2017-1,TRUE,0,0,26,26
,1-Jul-17,Adamawa,Fufore,Karlahi,220,220,9,9,0,0,4,4,4,4,4,4,4,4,5,5,260,260,8,8,0,AdamawaFuforeKarlahi01/07/2017-1,TRUE,0,0,34,34
,1-Jul-17,Adamawa,Fufore,Mayo Inne,525,525,12,12,2,2,8,8,8,8,8,8,8,8,3,3,230,230,16,16,0,AdamawaFuforeMayo Inne01/07/2017-1,TRUE,0,0,47,47
,1-Jul-17,Adamawa,Fufore,Pariya,531,531,8,8,0,0,8,8,8,8,8,8,8,8,0,0,391,391,16,16,0,AdamawaFuforePariya01/07/2017-1,TRUE,2,2,30,30
,1-Jul-17,Adamawa,Fufore,Ribadu,310,310,12,12,8,8,8,8,8,8,8,8,8,8,0,0,380,380,18,18,0,AdamawaFuforeRibadu01/07/2017-1,TRUE,0,0,43,43
,1-Jul-17,Adamawa,Fufore,Uki Tuki,93,93,18,18,0,0,8,8,8,8,8,8,8,8,8,8,614,614,16,16,0,AdamawaFuforeUki Tuki01/07/2017-1,TRUE,10,10,72,72
,1-Jul-17,Adamawa,Fufore,Wuro Bokki,553,553,15,15,0,0,7,7,7,7,7,7,7,7,3,3,377,377,14,14,0,AdamawaFuforeWuro Bokki01/07/2017-1,TRUE,4,4,58,58
,1-Jul-17,Adamawa,Fufore,Yadim,215,215,8,8,0,0,7,7,7,7,7,7,7,7,6,6,265,265,14,14,0,AdamawaFuforeYadim01/07/2017-1,TRUE,6,6,34,34
,1-Jul-17,Adamawa,Ganye,Bakari Goso,211,211,18,18,0,0,10,10,10,10,10,10,10,10,12,12,674,674,20,20,0,AdamawaGanyeBakari Goso01/07/2017-1,TRUE,0,0,90,90
,1-Jul-17,Adamawa,Ganye,Gamu,223,223,8,8,0,0,4,4,4,4,4,4,4,4,4,4,325,325,8,8,0,AdamawaGanyeGamu01/07/2017-1,TRUE,0,0,41,41
,1-Jul-17,Adamawa,Ganye,Ganye 1,246,246,8,8,0,0,6,6,6,6,6,6,6,1,1,1,222,222,12,12,0,AdamawaGanyeGanye 101/07/2017-1,TRUE,0,0,31,31
